sub,num_comp_lh,num_comp_rh,pimfs_d_lh,pimfs_v_lh,pimfs_d_rh,pimfs_v_rh
100307,2,2,present,present,present,present
100206,2,2,present,present,present,present
100408,1,2,present,absent,present,present
100610,2,2,present,present,present,present
101006,1,1,present,absent,present,absent
101107,2,1,present,present,absent,present
107725,2,1,present,present,present,absent
109830,2,2,present,present,present,present
112920,2,2,present,present,present,present
114924,1,2,present,absent,present,present
128127,1,1,present,absent,absent,present
133928,2,1,present,present,present,absent
144125,2,2,present,present,present,present
146937,2,2,present,present,present,present
151425,2,1,present,present,absent,present
151829,1,2,absent,present,present,present
164939,2,1,present,present,absent,present
176744,1,1,absent,present,present,absent
180937,2,2,present,present,present,present
268749,2,2,present,present,present,present
365343,1,2,present,absent,present,present
531536,1,2,absent,present,present,present
644044,1,1,present,absent,absent,present
585256,1,0,present,absent,absent,absent
867468,1,2,present,absent,present,present
380036,2,2,present,present,present,present
522434,2,2,present,present,present,present
214019,2,2,present,present,present,present
185947,2,2,present,present,present,present
566454,2,2,present,present,present,present
679770,2,2,present,present,present,present
910241,2,1,present,present,present,absent
959574,2,1,present,present,present,absent
622236,2,2,present,present,present,present
687163,2,2,present,present,present,present
517239,1,2,absent,present,present,present
101309,2,2,present,present,present,present
101410,2,2,present,present,present,present
101915,2,1,present,present,present,absent
102008,1,2,absent,present,present,present
102311,2,2,present,present,present,present
102513,2,2,present,present,present,present
102816,2,2,present,present,present,present
103111,2,2,present,present,present,present
103414,2,2,present,present,present,present
103515,2,2,present,present,present,present
103818,2,2,present,present,present,present
104416,2,2,present,present,present,present
104820,1,2,present,absent,present,present
105014,2,1,present,present,absent,present
105115,2,2,present,present,present,present
105216,0,2,absent,absent,present,present
105620,1,2,absent,present,present,present
106016,2,2,present,present,present,present
106319,2,2,present,present,present,present
106521,2,2,present,present,present,present
107018,2,2,present,present,present,present
107220,2,2,present,present,present,present
107321,1,2,present,absent,present,present
107422,2,2,present,present,present,present
108121,2,2,present,present,present,present
108222,2,2,present,present,present,present
108323,2,2,present,present,present,present
108525,1,2,present,absent,present,present
108828,2,2,present,present,present,present
109123,2,2,present,present,present,present
109325,0,2,absent,absent,present,present
110007,2,2,present,present,present,present
110411,2,1,present,present,absent,present
110613,2,2,present,present,present,present
120111,2,1,present,present,absent,present
168240,1,2,present,absent,present,present