sub,hemi,sulci,dice,method
100206,lh,ifrms,0.487654320987654,CBA
100206,rh,ifrms,0.43501326259947,CBA
100307,lh,ifrms,0.723549488054608,CBA
100307,rh,ifrms,0.600682593856655,CBA
100408,lh,ifrms,0.631229235880399,CBA
100408,rh,ifrms,0.551948051948052,CBA
100610,lh,ifrms,0.730434782608696,CBA
100610,rh,ifrms,0.712871287128713,CBA
101006,lh,ifrms,0.409090909090909,CBA
101006,rh,ifrms,0.418918918918919,CBA
101107,lh,ifrms,0.385542168674699,CBA
101107,rh,ifrms,0.515337423312884,CBA
180937,lh,ifrms,0.462222222222222,CBA
180937,rh,ifrms,0.686084142394822,CBA
268749,lh,ifrms,0.576576576576577,CBA
268749,rh,ifrms,0.421818181818182,CBA
365343,lh,ifrms,0.596363636363636,CBA
365343,rh,ifrms,0.551111111111111,CBA
531536,lh,ifrms,0.509225092250923,CBA
531536,rh,ifrms,0.753180661577608,CBA
112920,lh,ifrms,0.203966005665722,CBA
112920,rh,ifrms,0.575471698113208,CBA
176744,lh,ifrms,0.593258426966292,CBA
176744,rh,ifrms,0.729885057471264,CBA
151425,lh,ifrms,0.223958333333333,CBA
151425,rh,ifrms,0.411347517730496,CBA
644044,lh,ifrms,0.447154471544715,CBA
644044,rh,ifrms,0.783410138248848,CBA
128127,lh,ifrms,0.554455445544555,CBA
128127,rh,ifrms,0.0857142857142857,CBA
146937,lh,ifrms,0.451612903225806,CBA
146937,rh,ifrms,0.775086505190311,CBA
585256,lh,ifrms,0.148571428571429,CBA
585256,rh,ifrms,0.759878419452888,CBA
867468,lh,ifrms,0.259649122807018,CBA
867468,rh,ifrms,0.652920962199313,CBA
380036,lh,ifrms,0.498269896193772,CBA
380036,rh,ifrms,0.401114206128134,CBA
522434,lh,ifrms,0.336842105263158,CBA
522434,rh,ifrms,0,CBA
214019,lh,ifrms,0.357615894039735,CBA
214019,rh,ifrms,0.572390572390572,CBA
185947,lh,ifrms,0.28310502283105,CBA
185947,rh,ifrms,0.782312925170068,CBA
144125,lh,ifrms,0.356545961002786,CBA
144125,rh,ifrms,0.535211267605634,CBA
566454,lh,ifrms,0.229299363057325,CBA
566454,rh,ifrms,0.395543175487465,CBA
151829,lh,ifrms,0.352112676056338,CBA
151829,rh,ifrms,0.589211618257261,CBA
679770,lh,ifrms,0.569037656903766,CBA
679770,rh,ifrms,0.537313432835821,CBA
910241,lh,ifrms,0.425925925925926,CBA
910241,rh,ifrms,0.610062893081761,CBA
107725,lh,ifrms,0.78804347826087,CBA
107725,rh,ifrms,0.481632653061225,CBA
959574,lh,ifrms,0.484848484848485,CBA
959574,rh,ifrms,0.653753026634383,CBA
114924,lh,ifrms,0.303370786516854,CBA
114924,rh,ifrms,0.660287081339713,CBA
109830,lh,ifrms,0.753968253968254,CBA
109830,rh,ifrms,0.54180602006689,CBA
164939,lh,ifrms,0.619289340101523,CBA
164939,rh,ifrms,0.346666666666667,CBA
622236,lh,ifrms,0.462882096069869,CBA
622236,rh,ifrms,0.585669781931464,CBA
133928,lh,ifrms,0.309941520467836,CBA
133928,rh,ifrms,0.465608465608466,CBA
687163,lh,ifrms,0.282958199356913,CBA
687163,rh,ifrms,0.357541899441341,CBA
517239,lh,ifrms,0.463235294117647,CBA
517239,rh,ifrms,0.471698113207547,CBA
101309,lh,ifrms,0.451327433628319,CBA
101309,rh,ifrms,0.364741641337386,CBA
101410,lh,ifrms,0,CBA
101410,rh,ifrms,0.123893805309735,CBA
101915,lh,ifrms,0.69811320754717,CBA
101915,rh,ifrms,0.685236768802228,CBA
102008,lh,ifrms,0.577181208053691,CBA
102008,rh,ifrms,0.697095435684647,CBA
102311,lh,ifrms,0.691099476439791,CBA
102311,rh,ifrms,0.666666666666667,CBA
102513,lh,ifrms,0.611702127659574,CBA
102513,rh,ifrms,0.752427184466019,CBA
102816,lh,ifrms,0.662020905923345,CBA
102816,rh,ifrms,0.619565217391304,CBA
103111,lh,ifrms,0.596638655462185,CBA
103111,rh,ifrms,0.682634730538922,CBA
103414,lh,ifrms,0.634615384615385,CBA
103414,rh,ifrms,0.72093023255814,CBA
103515,lh,ifrms,0.380327868852459,CBA
103515,rh,ifrms,0.416243654822335,CBA
103818,lh,ifrms,0.3,CBA
103818,rh,ifrms,0.471698113207547,CBA
104416,lh,ifrms,0.45643153526971,CBA
104416,rh,ifrms,0.675767918088737,CBA
104820,lh,ifrms,0.201834862385321,CBA
104820,rh,ifrms,0.60952380952381,CBA
105014,lh,ifrms,0.461176470588235,CBA
105014,rh,ifrms,0.647773279352227,CBA
105115,lh,ifrms,0.458333333333333,CBA
105115,rh,ifrms,0.544502617801047,CBA
105216,lh,ifrms,0.625,CBA
105216,rh,ifrms,0.774410774410774,CBA
105620,lh,ifrms,0.652173913043478,CBA
105620,rh,ifrms,0.456953642384106,CBA
106016,lh,ifrms,0.546511627906977,CBA
106016,rh,ifrms,0.617511520737327,CBA
106319,lh,ifrms,0.610271903323263,CBA
106319,rh,ifrms,0.620689655172414,CBA
106521,lh,ifrms,0.598360655737705,CBA
106521,rh,ifrms,0.444444444444444,CBA
107018,lh,ifrms,0.409090909090909,CBA
107018,rh,ifrms,0.507288629737609,CBA
107220,lh,ifrms,0.412371134020619,CBA
107220,rh,ifrms,0.0747663551401869,CBA
107321,lh,ifrms,0.566844919786096,CBA
107321,rh,ifrms,0.293255131964809,CBA
107422,lh,ifrms,0.482993197278912,CBA
107422,rh,ifrms,0,CBA
108121,lh,ifrms,0.628975265017668,CBA
108121,rh,ifrms,0.212014134275618,CBA
108222,lh,ifrms,0.0287769784172662,CBA
108222,rh,ifrms,0.699186991869919,CBA
108323,lh,ifrms,0.577946768060836,CBA
108323,rh,ifrms,0.730650154798762,CBA
108525,lh,ifrms,0.541284403669725,CBA
108525,rh,ifrms,0.227979274611399,CBA
108828,lh,ifrms,0.422535211267606,CBA
108828,rh,ifrms,0.469055374592834,CBA
109123,lh,ifrms,0.62962962962963,CBA
109123,rh,ifrms,0.304709141274238,CBA
109325,lh,ifrms,0.582995951417004,CBA
109325,rh,ifrms,0.68421052631579,CBA
110007,lh,ifrms,0.238532110091743,CBA
110007,rh,ifrms,0.41025641025641,CBA
110411,lh,ifrms,0.692063492063492,CBA
110411,rh,ifrms,0.80327868852459,CBA
110613,lh,ifrms,0,CBA
110613,rh,ifrms,0.101851851851852,CBA
120111,lh,ifrms,0.52020202020202,CBA
120111,rh,ifrms,0.66369710467706,CBA
168240,lh,ifrms,0.532507739938081,CBA
168240,rh,ifrms,0.588652482269504,CBA